DATE,County Name,TOR_F_SCALE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,BEGIN_TIME,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,CZ_TIMEZONE,SOURCE,,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,BEGIN_LOCATION,END_LOCATION,END_DATE,END_TIME,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
8/5/1955,COLLIER,EFU,26.13,-80.88,26.32,-80.91,,0,0,,,EST-5,NWS Storm Survey,,,,,,,,,,10/20/2024,,,,122
10/13/1955,PALM BEACH,EFU,26.73,-80.46,26.96,-80.42,,0,0,,,EST-5,NWS Storm Survey,,,,,,,,,,10/11/2024,,,,113
4/10/1956,PALM BEACH,EFU,26.69,-80.44,26.96,-80.35,,0,0,,,EST-5,NWS Storm Survey,,,,,,,,,,10/12/2024,,,,114
8/22/1956,COLLIER CO.,EF0,26.277,-81.556,26.277,-81.556,55,0,0,0,0,EST-5,Public,,0.1,25,10,NE,10,NE,GOLDEN GATE,GOLDEN GATE,9/26/2024,55,"The public reported trees down on Randall Boulevard two blocks east of 16th Street NE. A tornadic cell likely moved over this area based on radar data, with time estimated.","The center of Hurricane Helene passed about 200 miles west of Naples as a Category 3 hurricane moving N-NE over the eastern Gulf of Mexico around midday on Thursday, September 26th, then made landfall later that evening in the Florida Big Bend as a Category 4 hurricane with maximum sustained winds of 140 mph and lowest central pressure of 938 mb. The large wind field around Helene brought tropical storm force winds to a good portion of southern Florida, with the most consistent area of sustained tropical storm force winds over western Collier County on September 26th. Brief but strong tropical storm force wind gusts affected the remainder of southern Florida. Some of the strong wind gusts associated with Helene were not directly associated with rainbands, but due to the very strong pressure gradient and daytime heating which acted to mix down strong winds just above the surface. Most locations experienced some wind damage, primarily to trees. Sections of Collier County observed minor roof and structural damage from wind. ||Significant coastal flooding occurred along the Collier County coast from storm surge.|The first flooding episode, of up to moderate levels, occurred with the high tide on the morning and midday of September 26th when the initial storm surge from Helene reached the area. The subsequent low tide was muted by increasing surge from the major hurricane, with the highest and most impactful flooding occurring during the evening/night high tide cycle of September 26th and early morning of September 27th.|Tide levels reached 4.02 ft above Mean Higher High Water (MHHW) at Naples Bay near the city dock, and NWS storm surveys indicated an 3-4 feet above ground in beachfront locations in Naples, and 1-3 feet above ground in Marco Island, Goodland, Everglades City, and Chokoloskee. Storm surge flooding mainly affected streets and parking lots, but several structures near and along the coast had minor to moderate water intrusion. ||Two EF-0 tornadoes impacted Collier County with very minor damage.||The total effects of Helene in South Florida resulted in about $1.3 million in damage, almost entirely from storm surge flooding in coastal Collier County.",110
10/15/1956,COLLIER CO.,EF0,26.202,-81.515,26.202,-81.515,2354,0,0,0,0,EST-5,Public,,0.1,25,10,ENE,10,ENE,GOLDEN GATE,GOLDEN GATE,9/25/2024,2354,"The public reported outdoor items laying across DeSoto Blvd and 16th Avenue SE in Golden Gate Estates. Lawn furniture, boat cushions, tree damage was found. A tornadic cell likely moved over this area based on radar data, with time estimated.","The center of Hurricane Helene passed about 200 miles west of Naples as a Category 3 hurricane moving N-NE over the eastern Gulf of Mexico around midday on Thursday, September 26th, then made landfall later that evening in the Florida Big Bend as a Category 4 hurricane with maximum sustained winds of 140 mph and lowest central pressure of 938 mb. The large wind field around Helene brought tropical storm force winds to a good portion of southern Florida, with the most consistent area of sustained tropical storm force winds over western Collier County on September 26th. Brief but strong tropical storm force wind gusts affected the remainder of southern Florida. Some of the strong wind gusts associated with Helene were not directly associated with rainbands, but due to the very strong pressure gradient and daytime heating which acted to mix down strong winds just above the surface. Most locations experienced some wind damage, primarily to trees. Sections of Collier County observed minor roof and structural damage from wind. ||Significant coastal flooding occurred along the Collier County coast from storm surge.|The first flooding episode, of up to moderate levels, occurred with the high tide on the morning and midday of September 26th when the initial storm surge from Helene reached the area. The subsequent low tide was muted by increasing surge from the major hurricane, with the highest and most impactful flooding occurring during the evening/night high tide cycle of September 26th and early morning of September 27th.|Tide levels reached 4.02 ft above Mean Higher High Water (MHHW) at Naples Bay near the city dock, and NWS storm surveys indicated an 3-4 feet above ground in beachfront locations in Naples, and 1-3 feet above ground in Marco Island, Goodland, Everglades City, and Chokoloskee. Storm surge flooding mainly affected streets and parking lots, but several structures near and along the coast had minor to moderate water intrusion. ||Two EF-0 tornadoes impacted Collier County with very minor damage.||The total effects of Helene in South Florida resulted in about $1.3 million in damage, almost entirely from storm surge flooding in coastal Collier County.",109
5/13/1957,BROWARD CO.,EF0,25.98,-80.34,26.02,-80.31,1520,0,0,10000,0,EST-5,NWS Storm Survey,,3.36,100,4,ESE,5,WNW,MIRAMAR,HOLLYWOOD N PERRY AR,2/18/2024,1525,A tornado was observed in the cities of Miramar and Pembroke Pines as showers passed in the mid-afternoon. Most damage observed along the path was minor and mainly to vegetation and fencing. The tornado was rated as an EF-0 with an estimated maximum winds near 75 mph. The tornado had a non-continuous damage path length of 3.6 miles with a maximum width of 100 yards. Damage amount is estimated.,"A low-topped supercell embedded within a line of showers moved across a portion of Broward and Miami-Dade Counties on the afternoon of February 18th, 2024 in association with a cold front moving through the area. During several different cycles in the lifetime of this low-topped supercell, tornadic activity was reported. Due to the cyclic nature of this low-topped supercell, these tornadoes' paths were discontinuous.",106
10/8/1957,BROWARD CO.,EF0,26.07,-80.26,26.11,-80.23,1533,0,0,15000,0,EST-5,NWS Storm Survey,,3.4,350,2,W,2,WNW,DAVIE,LAUDERHILL,2/18/2024,1541,"A tornado was observed in portions of Cooper City, Davie, and Plantation as showers passed in the mid-afternoon. Damage was mainly to vegetation, including hardwood trees, which impacted some structures. There were public reports of tree damage and metal siding debris at the Bamford Sports Complex in Davie. The tornado was rated as an EF-0 with estimated an maximum winds near 80 mph. The tornado had a non-continuous damage path length of 3.4 miles with a maximum 350 yards. Damage amount is estimated.","A low-topped supercell embedded within a line of showers moved across a portion of Broward and Miami-Dade Counties on the afternoon of February 18th, 2024 in association with a cold front moving through the area. During several different cycles in the lifetime of this low-topped supercell, tornadic activity was reported. Due to the cyclic nature of this low-topped supercell, these tornadoes' paths were discontinuous.",107
3/18/1958,BROWARD CO.,EFU,26.1705,-80.143,26.17,-80.14,1555,0,0,40000,0,EST-5,Social Media,,0.19,50,1,W,1,W,OAKLAND PARK,OAKLAND PARK,2/18/2024,1556,"The broadcast media and public described, via social media posts and pictures, a tornado occurred within a residential neighborhood in the city of Oakland Park. There were pictures of flipped cars and damaged trees. Time, path length, and path width are estimated based on radar and satellite imagery. Due to an inability to survey the area, maximum wind speeds and EF rating are unknown. Damage amount is estimated.","A low-topped supercell embedded within a line of showers moved across a portion of Broward and Miami-Dade Counties on the afternoon of February 18th, 2024 in association with a cold front moving through the area. During several different cycles in the lifetime of this low-topped supercell, tornadic activity was reported. Due to the cyclic nature of this low-topped supercell, these tornadoes' paths were discontinuous.",108
4/22/1958,MIAMI-DADE CO.,EFU,25.84,-80.49,25.8444,-80.4811,1457,0,0,0,0,EST-5,Public,,0.63,30,8,WSW,7,WSW,PENNSUCO,PENNSUCO,2/18/2024,1459,"A brief tornado touched down in Miami-Dade County approximately 4 miles north of the intersection of SW 8th street and Highway 997 (Krome Avenue). A driver reported a tornado crossing Krome Ave via social media. Minor vegetation damage was noted. Time, path length, and path width are estimated by radar and video reports from the public. Maximum wind speed and EF rating are unknown.","A low-topped supercell embedded within a line of showers moved across a portion of Broward and Miami-Dade Counties on the afternoon of February 18th, 2024 in association with a cold front moving through the area. During several different cycles in the lifetime of this low-topped supercell, tornadic activity was reported. Due to the cyclic nature of this low-topped supercell, these tornadoes' paths were discontinuous.",105
4/22/1958,BROWARD CO.,EF0,26.1076,-80.1297,26.1199,-80.1086,1747,0,0,150000,0,EST-5,NWS Storm Survey,,1.56,100,1,N,2,ESE,PORT EVERGLADES,FT LAUDERDALE,1/6/2024,1750,"A tornado affected the downtown Fort Lauderdale area on the evening of January 6th. First visible signs of damage were along SE 12TH ST where large branches were down in front of a home. The tornado then traveled 1.5 miles northeast through portions of Rio Vista Isles, across the New River, and then across several streets just south of Sunset Lake before lifting in the vicinity of East Las Olas Blvd per video evidence. Most of the damage observed along the path was minor tree, roof, and power line damage. Therefore, the tornado is rated as an EF-0 with estimated maximum winds near 80 mph, however, most of the damage was likely in the 60-70 mph range. Damage amounts are estimated.","With the influence of a mid-level trough to the north, a surface low pressure system moving across the Southeast U.S. pulled a warm front across South Florida on the morning of January 6th. This brought plenty of warm air and diurnal instability to the area ahead of a cold front, which was the source of lift to spark several showers and thunderstorms in the afternoon and evening. Some thunderstorms became severe, producing a funnel cloud and two tornadoes.",104
8/3/1958,PALM BEACH CO.,EFU,26.5273,-80.4902,26.5274,-80.4776,1532,0,0,0,0,EST-5,Unknown,,0.78,100,14,SW,13,SW,LOXAHATCHEE,LOXAHATCHEE,1/6/2024,1534,"High-resolution satellite imagery showed a tornado damage path through a field near Browns Farm Road southeast of Belle Glade after a severe thunderstorm moved through the area. Time, path width, and path length are estimated based on radar and satellite imagery. Due to an inability to survey the area, maximum wind speeds and EF rating are unknown.","With the influence of a mid-level trough to the north, a surface low pressure system moving across the Southeast U.S. pulled a warm front across South Florida on the morning of January 6th. This brought plenty of warm air and diurnal instability to the area ahead of a cold front, which was the source of lift to spark several showers and thunderstorms in the afternoon and evening. Some thunderstorms became severe, producing a funnel cloud and two tornadoes.",103
8/3/1958,COLLIER CO.,EF0,26.1455,-81.7563,26.1415,-81.7677,1555,0,0,100000,0,EST-5,NWS Storm Survey,,0.76,50,2,ESE,1,SE,(APF)NAPLES MUNI ARP,(APF)NAPLES MUNI ARP,8/24/2023,1558,"A brief tornado occurred during the early evening of Thursday August |24, 2023 in Naples. The tornado was believed to have touched down near |Roseate Dr and Robin Ave where multiple large tree branches were snapped off. |The tornado then traveled SW and did some roof damage to a home on Cardinal |St. Additional minor tree and aluminum damage was observed near the |Walker Technical College. The strongest wind damage was observed in the |vicinity of the college where 9 vehicles were damaged in the parking lot. Some |of the car damage was from a falling tree, and other damage was from cars being |moved into each other by the wind. The tornado then crossed Airport Rd south |of Estey Ave before lifting. Wind speeds were mostly estimated between 50-60 mph |however the strongest winds near the technical college were estimated to be |around 80 mph, for a rating of EF-0.","A brief tornado occurred during the early evening of Thursday August 24, 2023 in Naples, Florida. This led to minor damage, primarily to cars and large trees, across just less than a mile long path. There were no reports of injuries or deaths.",102
10/19/1958,MIAMI-DADE CO.,EF0,25.5877,-80.4336,25.581,-80.4294,1220,0,0,50000,0,EST-5,NWS Storm Survey,,0.6,75,3,ENE,3,ENE,ALADDIN CITY,ALADDIN CITY,5/25/2023,1222,"A thunderstorm produced a short-lived EF-0 tornado in Redland, starting around|SW 192nd St before traveling south along SW 147th Ave until almost SW 200th St. Several trees were snapped and/or uprooted. A semi tractor trailer was knocked on its side by the tornado near SW 196th St and the driver was injured. Most of the winds along the brief damage path were estimated in the 55-65 mph range, with a peak estimate of 80 mph. Damage amounts are estimated.","With the influence of a mid-level trough to the north, South Florida was provided with a source of lift, which combined with surface instability from diurnal heating to develop scattered showers and thunderstorms on the afternoon of May 25th. One of these thunderstorms produced a brief tornado in southwest Miami-Dade County.",101
6/17/1959,PALM BEACH CO.,EF2,26.8251,-80.0897,26.8495,-80.0593,1610,0,0,250000,0,EST-5,NWS Storm Survey,,2.61,320,2,NW,1,NNW,PALM BEACH GARDENS,NORTH PALM BEACH,4/29/2023,1621,"The tornado began in eastern Palm Beach Gardens, just east of Interstate 95, and moved northeast across A1A, passing just south of the Palm Beach Gardens Medical Center. As it moved through the Sanctuary Cove community, it crossed State Road 786 (PGA Boulevard) near the intersection with US-1. After a short trek up US-1, the tornado dissipated before reaching Juno Beach. Light tree damage consistent with an EF-0 was noted near the determined starting point of the tornado. The tornado strengthened quickly to an EF1 as it moved through the Gardens East apartment complex. Significant tree damage ranging from uprooted trees to snapped trunks were noted in this community. The tornado then moved through the Sandalwood Estates |community off of Burns road. Quite a bit of tree debris was scattered throughout this community, with several large trees completely uprooted. One notable damage indicator was a greater than 3 inch diameter branch that pierced the metal roof of a |residence. A countless number of large branches were stripped from trees throughout the community with a few snapped trunks near the worst of the damage in this area. The tornado then moved through the Rainwood community where a home suffered broken windows and had many shingles removed. Similar tree damage continued into this neighborhood.||When the tornado crossed Prosperity Farms Road and entered the Sanctuary Cove community, this was where it strengthened to EF-2 intensity reaching an estimated peak wind of 130 mph. Some of the most substantial structural damage was noted here with collapsed roofs, broken windows, removed roofing material, and debarking of trees. The EF2 tornado then cross the North Palm Beach Waterway where it completely destroyed a manufactured home along the canal bank. As the tornado moved NNE it crossed into the Point at Palm Beach Gardens community where it created minor structural damage to the complex, but had some of its most photographed moments as |cars were displaced, flipped, and stacked on each other. The tornado then moved through the City Centre where considerable tree, light post, and street sign damage was noted. As it crossed PGA Blvd the tornado destroyed a dry cleaners business, collapsed large light poles, and even caused a concrete electrical pole to lean. The last notable damage was still at EF2 strength when the tornado crossed US 1 and caused two cars to be flipped and displaced on the opposite side of US 1. Several videos of the |incident were witnessed, as well as one from inside the vehicle, and the survey crew was able to interview one of the drivers. The tornado quickly lifted after crossing US 1 where it caused minor tree damage in a shopping center. Damage value is estimated based on the number of structures, vehicles, and trees damaged.","Following ample sunshine, mesoscale boundary collisions created afternoon and evening showers and strong thunderstorms across South Florida April 29th, especially around Lake Okeechobee and Palm Beach County. A cell merger that began in Palm Beach Gardens was able to take advantage of a favorable environment for tornadoes and spawned an EF-2 tornado in Palm Beach County.",100
6/17/1959,PALM BEACH CO.,EF0,26.506,-80.08,26.511,-80.069,1833,0,0,50000,0,EST-5,NWS Storm Survey,,0.76,100,2,WSW,1,WSW,OCEAN RIDGE,OCEAN RIDGE,4/28/2023,1838,"A tornado affected southern portions of Boynton Beach on the evening of April 28th. The first visible signs of tornadic damage were just west of I-95 and south of SW 23rd Ave in the form of several broken large tree branches and a royal palm tree partially stripped of its fronds. The tornado moved ENE continuing it's path as it crossed I-95, with reports of traffic stopping or slowing down as the circulation crossed the interstate. The tornado then moved through portions of the High Point community where about a half-dozen homes sustained minor roof uplift near the corners of the structures, awnings twisted or completely torn off and landing several houses away, and several large tree branches and trunks broken. The final indication of tornadic damage was a downed small palm tree at Main Blvd, east of SW 3rd St, just south of the Boynton Beach Little League Park. The damage path was sporadic in spots, with large tree branches or trunks snapped right next to other trees and buildings with no visible signs of damage. Therefore, the tornado is rated as an EF-0 with estimated maximum winds near 80 mph. Most of the winds along the damage path were estimated in the 65-75 mph range. Damage amounts are estimated.","With the influence of a mid-level disturbance to the north, a surface frontal boundary sagged into South-Central Florida which put South Florida near a source of lift, combined with surface instability from diurnal heating. Additional shortwave impulses added to the convective activity and led to severe thunderstorm producing a tornado in Broward County on April 28th.",99
6/29/1959,BROWARD CO.,EF0,26.0215,-80.1144,26.0215,-80.1153,1144,0,0,0,0,EST-5,Broadcast Media,,0.06,10,2,E,2,E,HOLLYWOOD,HOLLYWOOD,4/21/2023,1145,"Broadcast media showed aerial coverage of a landfalling waterspout on Hollywood Beach, just east of the intersection of Hayes Street and N. Surf Road. The video footage showed a circulation briefly moving onshore with chairs and an umbrella being picked up from the beach up to the Broadwalk. A tornado warning was issued at 12:44 PM EDT.",Moist easterly winds generated showers and thunderstorms over the near-shore Atlantic waters of SE Florida.,98
7/14/1959,PALM BEACH CO.,EF0,26.3239,-80.0743,26.3239,-80.0748,836,0,0,0,0,EST-5,Broadcast Media,,0.03,10,2,S,2,S,BOCA RATON,BOCA RATON,4/21/2023,838,Various members of the broadcast media sent in video footage of a waterspout briefly |moving onshore just south of Boca Inlet at Ocean Towers. Several umbrellas and chairs |were visibly picked up in the air by the circulation before dissipating shortly afterwards.,Moist easterly winds generated showers and thunderstorms over the near-shore Atlantic waters of SE Florida.,97
5/2/1960,BROWARD CO.,EF0,26.0341,-80.1856,26.0341,-80.1855,1426,0,0,0,0,EST-5,NWS Storm Survey,,0.01,10,1,NE,1,NE,WEST HOLLYWOOD,WEST HOLLYWOOD,4/12/2023,1427,"A weak tornadic debris signature (TDS) was noted on radar in a slow-moving thunderstorm in Broward County. There was minimal damage found in the area of the noted TDS in western Hollywood. A short-lived, small tornado likely only impacted the tree-top level. It was determined to be a low end EF-0 with estimated peak wind speed around 65 mph.","A nearly stationary front began to move slowly northward across South Florida on April 12th, focusing deep moisture over the region. An mid to upper level low pressure over the NW Gulf of Mexico and an upper level jet stream over the eastern Gulf of Mexico contributed to providing the necessary atmospheric forcing for areas of persistent heavy rain and strong thunderstorms across most of SE Florida.",95
6/30/1960,BROWARD CO.,EF0,26.0551,-80.1323,26.0589,-80.1598,2040,0,0,50000,0,EST-5,NWS Storm Survey,,1.73,50,2,SE,1,NE,(FLL)FT LAUDRDL INTL,PEMBROKE PINES,4/12/2023,2044,"A small tornado began in Dania Beach on NE 6th Court just south of Ft. Lauderdale/Hollywood International Airport, causing mainly fence and tree damage to the surrounding neighborhood. The tornado skipped as the parent storm moved WNW across Federal Highway, with the next area of tornado damage noted at a church on NW 5th Avenue and 3rd Terrace where the west edge of the roof peeled and blew off to the east, and the front door facing north was blown in. Extensive tree damage was noted westward along Old Griffin Road next to the Dania Cut-Off Canal, then damaged at least half a dozen mobile homes in the Ocean Waterway community west of Bryan Road and east of I-95. The mobile home damage was in the form of peeled roofs, metal siding torn off, and damaged power poles. ||The tornado was rated on the high end of the EF-0 scale based primarily on damage in the mobile home park. A tornadic debris signature (TDS) was also noted on radar with this tornado. Damage totals are estimates.","A nearly stationary front began to move slowly northward across South Florida on April 12th, focusing deep moisture over the region. An mid to upper level low pressure over the NW Gulf of Mexico and an upper level jet stream over the eastern Gulf of Mexico contributed to providing the necessary atmospheric forcing for areas of persistent heavy rain and strong thunderstorms across most of SE Florida.",96
9/25/1960,BROWARD CO.,EF0,26.1123,-80.3297,26.1131,-80.3297,31,0,0,10000,0,EST-5,NWS Storm Survey,,0.06,50,7,WNW,7,WNW,DAVIE,DAVIE,9/28/2022,32,"A tornado affected two blocks of the Sunshine Village manufactured home community in Davie near SW 136 Avenue and I-595. Damage was relatively minor, mainly to siding, gutters, awnings, and trees. Damage totals are estimated.","A tropical depression formed in the central Caribbean Sea on September 23rd, then was upgraded to Tropical Storm Ian at 11 PM on September 23rd. Ian moved westward, then turned northwest on September 25th, passing just west of Jamaica and near the Cayman Islands. Ian became a hurricane on Monday, September 26th south of western Cuba, then moved north and made landfall in Pinar Del Rio Province, Cuba early on Tuesday, September 27th as a Category 3 hurricane with maximum sustained winds of 125 mph. ||Ian moved into the SE Gulf of Mexico around midday on Tuesday, September 27th, then moved over Dry Tortugas as a Category 3 hurricane later that evening. Ian strengthened over the SE Gulf of Mexico as it approached Southwest Florida, becoming a Category 4 hurricane at 7 AM on Wednesday, September 28th with maximum sustained winds of 155 mph and a lowest central pressure of 936 mb. Ian moved N-NE and made landfall in Cayo Costa west of Fort Myers at 3:05 PM on Wednesday, September 28th with maximum sustained winds of 150 mph and minimum central pressure of 940 mb. ||Ian moved NE across the central Florida peninsula during the evening and night of Wednesday, September 28th, finally being downgraded to a tropical storm about 20 miles west of Melbourne at 5 AM Thursday, September 29th. Ian moved off the east coast of Florida just north of Cape Canaveral during the mid-morning hours of Thursday, September 29th. ||Ian produced a catastrophic storm surge across coastal sections of SW Florida on Wednesday, September 28th. Storm surge from surveys was estimated in the 8-11 ft range above MHHW along the Gulf beaches from Naples north to Barefoot Beach, and extending inland about 1 mile. Storm surge of 4-7 ft above MHHW was surveyed in the Naples Bay area and extending north to the Naples Airport area, as well as in North Naples near the Cocohatchee River. Farther south and east along the coast, storm surge values were estimated at 5-7 feet above MHHW in Marco Island and Goodland, and 4-6 ft MHHW in Everglades City and Chokoloskee.||Wind gusts as high as 110 mph were measured in the Naples area at heights well above the standard surface elevation of 33 feet. Sustained winds in the 70-75 mph range likely occurred in NW Collier County as well as far western sections of Hendry and Glades counties. Elsewhere across South Florida, peak winds were generally in the 45-70 mph range. ||A total of 13 reported tornadoes were spawned by Ian on Tuesday, September 27th and early on Wednesday, September 28th as it was approaching the SW Florida coast, the strongest being an EF-2 in the Delray Beach area of Palm Beach County. ||Storm total rainfall amounts from 8 AM on September 26th to 8 AM on September 29th ranged from 4 to 10 inches across southern Florida. The highest rainfall amounts occurred in the day or two leading up to the storm's landfall, with highest values over western metro Broward County in the 8-10 inch range, as well as in parts of the city of Miami.||All of the associated effects of Ian in southern Florida resulted in 10 fatalities, at least 2 injuries, $2.2 billion in property damage, and at least $500,000 in crop damage. The vast majority of the damage was likely caused by the significant to major storm surge in Collier County. Of the 10 deaths, 2 were directly caused by the storm surge in Collier County, and the remaining 8 were indirectly caused by the storm during evacuation, preparation, and clean-up activities. The 13 associated tornadoes resulted in 2 injuries an estimated $2.5 million in property damage.||Six people were injured at South Pointe Pier Park on Miami Beach on September 30th by large waves caused by swells from the back side of Ian.",92
3/21/1961,GLADES CO.,EF0,26.827,-81.0781,26.8376,-81.0912,125,0,0,50000,0,EST-5,Emergency Manager,,1.09,75,0,SSE,1,NW,MOORE HAVEN,MOORE HAVEN,9/28/2022,133,"A tornado moved NW over portions of Moore Haven early Wednesday morning, September 28th. First signs of damage was tree damage near Park Avenue and Yaun Road, with siding and panel damage to a home on Park Avenue, as well as two storage trailers tipped near the Sportsman Village on Daniels Road next to the US 27 bridge. The damage path ended near the Moore Haven Yacht Club where siding damage to homes were observed. Damage is consistent with the higher end of the EF-0 scale.|Damage totals are estimated.","A tropical depression formed in the central Caribbean Sea on September 23rd, then was upgraded to Tropical Storm Ian at 11 PM on September 23rd. Ian moved westward, then turned northwest on September 25th, passing just west of Jamaica and near the Cayman Islands. Ian became a hurricane on Monday, September 26th south of western Cuba, then moved north and made landfall in Pinar Del Rio Province, Cuba early on Tuesday, September 27th as a Category 3 hurricane with maximum sustained winds of 125 mph. ||Ian moved into the SE Gulf of Mexico around midday on Tuesday, September 27th, then moved over Dry Tortugas as a Category 3 hurricane later that evening. Ian strengthened over the SE Gulf of Mexico as it approached Southwest Florida, becoming a Category 4 hurricane at 7 AM on Wednesday, September 28th with maximum sustained winds of 155 mph and a lowest central pressure of 936 mb. Ian moved N-NE and made landfall in Cayo Costa west of Fort Myers at 3:05 PM on Wednesday, September 28th with maximum sustained winds of 150 mph and minimum central pressure of 940 mb. ||Ian moved NE across the central Florida peninsula during the evening and night of Wednesday, September 28th, finally being downgraded to a tropical storm about 20 miles west of Melbourne at 5 AM Thursday, September 29th. Ian moved off the east coast of Florida just north of Cape Canaveral during the mid-morning hours of Thursday, September 29th. ||Ian produced a catastrophic storm surge across coastal sections of SW Florida on Wednesday, September 28th. Storm surge from surveys was estimated in the 8-11 ft range above MHHW along the Gulf beaches from Naples north to Barefoot Beach, and extending inland about 1 mile. Storm surge of 4-7 ft above MHHW was surveyed in the Naples Bay area and extending north to the Naples Airport area, as well as in North Naples near the Cocohatchee River. Farther south and east along the coast, storm surge values were estimated at 5-7 feet above MHHW in Marco Island and Goodland, and 4-6 ft MHHW in Everglades City and Chokoloskee.||Wind gusts as high as 110 mph were measured in the Naples area at heights well above the standard surface elevation of 33 feet. Sustained winds in the 70-75 mph range likely occurred in NW Collier County as well as far western sections of Hendry and Glades counties. Elsewhere across South Florida, peak winds were generally in the 45-70 mph range. ||A total of 13 reported tornadoes were spawned by Ian on Tuesday, September 27th and early on Wednesday, September 28th as it was approaching the SW Florida coast, the strongest being an EF-2 in the Delray Beach area of Palm Beach County. ||Storm total rainfall amounts from 8 AM on September 26th to 8 AM on September 29th ranged from 4 to 10 inches across southern Florida. The highest rainfall amounts occurred in the day or two leading up to the storm's landfall, with highest values over western metro Broward County in the 8-10 inch range, as well as in parts of the city of Miami.||All of the associated effects of Ian in southern Florida resulted in 10 fatalities, at least 2 injuries, $2.2 billion in property damage, and at least $500,000 in crop damage. The vast majority of the damage was likely caused by the significant to major storm surge in Collier County. Of the 10 deaths, 2 were directly caused by the storm surge in Collier County, and the remaining 8 were indirectly caused by the storm during evacuation, preparation, and clean-up activities. The 13 associated tornadoes resulted in 2 injuries an estimated $2.5 million in property damage.||Six people were injured at South Pointe Pier Park on Miami Beach on September 30th by large waves caused by swells from the back side of Ian.",93
