DATE,County Name,MAGNITUDE (Knots),Converted to MPH,BEGIN_LOCATION,BEGIN_TIME,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,
5/15/2006,MIAMI-DADE CO.,80,92.0624,OPA LOCKA,1420,0,0,50000,0,EST,EG,1209225,C,86,MFL,0,0,NWS STORM SURVEY,,,,,,,,OPA LOCKA,1420,25.91667,-80.2833,25.91667,-80.2833,Metal roof sheeting torn off of hangar on the grounds of Opa-Locka Airport. Roofing material was strewn across adjacent parking lot and struck several parked vehicles. Insulation from roof scattered across parking lot. Damage determined to be caused by downburst or straight-line winds estimated at 70-80 mph. Time estimated and based on ASOS observation of 61 mph from KOPF. Damage amount estimated.,,
8/2/2004,PALM BEACH CO.,80,92.0624,RIVIERA BEACH,1400,0,0,5000,0,EST,EG,1175927,C,99,MFL,0,0,NEWSPAPER,,,,,,,,RIVIERA BEACH,1400,26.76667,-80.05,26.76667,-80.05,A severe thunderstorm wind gust blew shingles off of a duplex house and blew down power lines.,,
1/17/2016,COLLIER CO.,78,89.76084,NAPLES,521,0,0,0,0,EST-5,EG,102136,C,21,MFL,0,0,NWS Storm Survey,,,,1,NW,1,SSE,IMMOKALEE,551,26.1349,-81.8071,26.4064,-81.4123,"A line of severe storms moved onshore the Collier county coast, producing a 30 mile long, 2-4 mile swath of damage starting in the Naples area and ending in Immokalee.||As the line storms moved onshore, it beached several catamarans in the vicinity of Naples Pier. Extensive tree damage occurred around the Port Royal, Aqualane Shores, Royal Harbor, and Olde Naples areas near the coast; including large uprooted trees and snapped tree trunks. As the line moved further inland, boat and dock damage occurred at the Port of Naples Marina, as well as damage to a nearby construction site. Extensive tree and minor outbuilding damage occurred in and near the Naples Zoo. ||To the north, several planes were damaged at the Naples Municipal Airport along with extensive tree, shed, and outbuilding damage in the vicinity of the airport. Intermittent damage occurred as the line moved further east across I-75, with more concentrated damage in the northwest portions of Golden Gate City. In addition to tree damage, numerous street signs were downed along with fence damage. Just to the northeast in Golden Gate Estates, a significant area of concentrated damage occurred with dozen of very large trees, power lines and fences downed along with heavily damaged outbuildings. Sporadic damage occurred further northeast through Orange Tree. The last area of observed damage was in the Immokalee Seminole Indian Reservation where winds damaged fences, power lines, outbuildings, and trees.||Wind gusts throughout the area of damage were 70 to 90 mph, supported by nearby measured gusts.","A line of severe storms developed over the eastern Gulf of Mexico during the early morning hours as an area of low pressure moved across the Florida peninsula. The line moved onshore the Collier county coast early in the morning, producing a large swath of wind damage. Numerous additional reports of wind gusts 45 to 55 mph and minor tree damage were recorded along the east coast metro as the line moved eastwards and into the Atlantic. A storm surge was also recorded as the line made landfall along the Collier county coast.",
1/8/1998,MIAMI-DADE CO.,78,89.76084,CORAL GABLES,2000,0,0,0,0,EST,,2072332,C,86,MFL,0,0,,,,,,,,,CORAL GABLES,2020,25.75,-80.25,25.75,-80.25,uprooted trees along .5 mile swath near 8000 block of old cutler rd.,,
8/21/2024,MIAMI-DADE CO.,76,87.45928,HOMESTEAD GEN AVN AR,1230,0,0,0,0,EST-5,MG,195859,C,86,MFL,0,0,Local Official,,,,0,N,0,N,HOMESTEAD GEN AVN AR,1230,25.5,-80.55,25.5,-80.55,"A passing thunderstorm, with strong microburst wind gusts, cause localized damage at the Homestead General Airport. Numerous small airplanes flipped, as well as bent fencing and light posts. Miami Skydive located at the airport reported 87 mph gusts were measured, at approximately 1:30 pm.","A stalled frontal boundary across northern Florida, with steady southwesterly flow, allowed moisture to pool and favored afternoon shower and thunderstorm chances. This allowed for occasional strong to severe thunderstorms with potential for heavy downpours and gusty winds on August 21st.",
5/31/1955,BROWARD CO.,75,86.3085,,1600,0,0,0,0,CST,,,C,11,,0,0,,,0,0,0,,0,,,1600,26.1,-80.18,,,,,
6/15/2011,COLLIER CO.,75,86.3085,GOLDEN GATE,1845,0,0,2000,0,EST-5,MG,53418,C,21,MFL,0,0,Mesonet,,,,5,SSW,5,SSW,GOLDEN GATE,1845,26.1053,-81.6946,26.1053,-81.6946,A high wind gust was measured on roof of collier county emergency operations center. The approximate height of instrument is 60 feet above ground. Surface winds were likely in 70-80 mph range.||Damage to the property at the EOC was limited to a light pole falling and crashing through a fence.,"A surface boundary north of the area triggered a cluster of strong and severe thunderstorms which moved south and swept across Lake Okeechobee and across the southwest coast into the Gulf of Mexico. More than 30,000 people were out of power in the area due to the storm. Cars were also flipped and numerous trees, power lines, and traffic signals were downed.||Damage from the storms was estimated at $40,000.",
5/3/1964,MIAMI-DADE CO.,75,86.3085,,115,0,0,0,0,CST,,,C,86,,0,0,,,0,0,0,,0,,,115,25.78,-80.18,,,,,
4/28/1999,MIAMI-DADE CO.,75,86.3085,KENDALL,1600,0,0,1000,0,EST,,1503154,C,86,MFL,0,0,NWS EMPLOYEE(OFF DUTY),,,,,,,,KENDALL,1600,25.68,-80.32,25.68,-80.32,,Several trees were blown down and the window of a house was blown in.,
1/17/2016,COLLIER CO.,73,84.00694,(APF)NAPLES MUNI ARP,525,0,0,0,0,EST-5,MG,102136,C,21,MFL,0,0,Mesonet,,,,1,E,1,E,(APF)NAPLES MUNI ARP,525,26.15,-81.77,26.15,-81.77,WeatherBug station at Naples Municipal Airport recorded a gust to 84 mph (73kts).,"A line of severe storms developed over the eastern Gulf of Mexico during the early morning hours as an area of low pressure moved across the Florida peninsula. The line moved onshore the Collier county coast early in the morning, producing a large swath of wind damage. Numerous additional reports of wind gusts 45 to 55 mph and minor tree damage were recorded along the east coast metro as the line moved eastwards and into the Atlantic. A storm surge was also recorded as the line made landfall along the Collier county coast.",
6/3/2023,BROWARD CO.,72,82.85616,(FLL)FT LAUDRDL INTL,1220,0,0,0,0,EST-5,MG,182840,C,11,MFL,0,0,Mesonet,,,,1,NE,1,NE,(FLL)FT LAUDRDL INTL,1220,26.08,-80.14,26.08,-80.14,A thunderstorm produced a wind gust of 83 mph at the WeatherFlow station 1694W at Ft Lauderdale/Hollywood International Airport.||Some empty cargo containers were blown around by the wind and hit the airport perimeter fence.,A deep flow of tropical moisture continued over South Florida associated with Tropical Storm Arlene over the NE Gulf of Mexico. This along with instability aided by a jet stream aloft led to the formation of strong and severe thunderstorms across SE Florida.,
4/10/1956,MIAMI-DADE CO.,72,82.85616,,1730,0,0,0,0,CST,,,C,86,,0,0,,,0,0,0,,0,,,1730,25.78,-80.28,,,,,
3/13/1993,MIAMI-DADE CO.,72,82.85616,Virginia Key,445,0,0,0,0,EST,,,C,86,,0,0,,,0,0,0,,0,,,445,,,,,A thunderstorm gust to 83 mph was reported.,,
3/25/1962,PALM BEACH CO.,72,82.85616,,1543,0,0,0,0,CST,,,C,99,,0,0,,,0,0,0,,0,,,1543,26.88,-80.08,,,,,
7/8/1992,PALM BEACH CO.,72,82.85616,,1415,0,0,0,0,PST,,,C,99,PBI,0,0,,,0,0,0,,0,,,1415,26.72,-80.03,,,,,
1/17/2016,COLLIER CO.,71,81.70538,(APF)NAPLES MUNI ARP,525,0,0,0,0,EST-5,MG,102136,C,21,MFL,0,0,ASOS,,,,0,N,0,N,(APF)NAPLES MUNI ARP,525,26.15,-81.78,26.15,-81.78,Naples Municipal Airport measured a gust to 82 mph (71kts).,"A line of severe storms developed over the eastern Gulf of Mexico during the early morning hours as an area of low pressure moved across the Florida peninsula. The line moved onshore the Collier county coast early in the morning, producing a large swath of wind damage. Numerous additional reports of wind gusts 45 to 55 mph and minor tree damage were recorded along the east coast metro as the line moved eastwards and into the Atlantic. A storm surge was also recorded as the line made landfall along the Collier county coast.",
4/24/1982,BROWARD CO.,70,80.5546,,925,0,0,0,0,CST,,,C,11,ATA,0,0,,,0,0,0,,0,,,925,26.23,-80.12,,,,,
5/7/1987,BROWARD CO.,70,80.5546,,1400,0,0,0,0,CST,,,C,11,MIA,0,0,,,0,0,0,,0,,,1400,26.12,-80.17,,,,,
3/8/1995,BROWARD CO.,70,80.5546,Weston,1400,0,0,80000,0,EST,,,C,11,,0,0,,,0,0,0,,15,W,FLL,1400,,,,,"A severe thunderstorm damaged bleachers, tents and exhibits at Weston Hills Country Club causing $80,000 damage, a day prior to the Honda Classic PGA golf tournament.",,
7/2/1995,BROWARD CO.,70,80.5546,E Central,1320,0,1,55000,0,EST,,,C,11,,0,0,,,0,0,0,,0,,,1320,,,,,"A severe thunderstorm produced wind gusts up to 80 mph and quarter-size hail from Davie to Fort Lauderdale. The wind blew down trees and power lines which sparked a fire that destroyed a $50 thousand house, and caused electric outages to 5,000 customers. A large tent was destroyed by thunderstorm winds, slightly injuring one person and ruining $5 thousand in fireworks.",,
3/9/1998,BROWARD CO.,70,80.5546,PEMBROKE PINES,600,0,0,0,0,EST,,2076935,C,11,MFL,0,0,,,,,,,,,PEMBROKE PINES,600,26.05,-80.17,26.05,-80.17,Automobiles were tossed and large trees were downed.,,
7/28/1999,BROWARD CO.,70,80.5546,POMPANO BEACH,1320,0,0,0,0,EST,,2408109,C,11,MFL,0,0,BROADCAST MEDIA,,,,,,,,POMPANO BEACH,1320,26.23,-80.12,26.23,-80.12,,A small tornado touched down at Fort Lauderdale Executive Airport flipping a small plane. The tornado then destroyed a tree at a residence near Commercial Boulevard and 45th Street. Severe thunderstorm wind gusts uprooted large trees in Pompano Beach.,
7/3/2002,BROWARD CO.,70,80.5546,LIGHTHOUSE PT,1400,0,0,10000,0,EST,E,1138571,C,11,MFL,0,0,TRAINED SPOTTER,,,,,,,,LIGHTHOUSE PT,1400,26.26667,-80.1167,26.26667,-80.1167,"A pool enclosure was damaged, tiles were taken off of a roof and large trees were uprooted. A SKYWARN spotter estimated winds above 60 mph.",,
3/15/2003,BROWARD CO.,70,80.5546,DEERFIELD BEACH,1705,0,0,0,0,EST,EG,1147874,C,11,MFL,0,0,EMERGENCY MANAGER,,,,,,,,DEERFIELD BEACH,1705,26.31667,-80.1,26.31667,-80.1,Several trees were blown down.,,
2/16/2016,BROWARD CO.,70,80.5546,WEST HOLLYWOOD,750,0,1,0,0,EST-5,EG,102823,C,11,MFL,0,0,Broadcast Media,,,,0,WNW,1,W,HOLLYWOOD,750,26.0212,-80.204,26.0185,-80.1703,"Strong winds lead to damage throughout the Hollywood area. Trees fell onto a home on 31st Court near Johnson Street, and severely damaged a mobile home on Arthur Street near N 58 Ave, injuring a female occupant. Radar estimated winds were around 80 mph across the area at the time of the event.","A strong squall line intensified well ahead of a cold front over the eastern Gulf of Mexico during the early morning hours of February 16th. The line produced straight line wind damage near Naples as it moved onshore, along with tornadoes in Glades and Collier counties. Three additional tornadoes developed across the east coast metro in Broward and Miami-Dade counties, as the squall line interacted with the southeasterly flow along the coast. In addition to the tornadoes, straight line wind gusts of 60 to 70 mph were reported across eastern Palm Beach and Broward counties, producing damage in Fort Lauderdale, West Palm Beach, Pembroke Pines, and Miramar. Small hail was also reported in Davie and Sunrise with a tornadic storm.",
4/11/1982,COLLIER CO.,70,80.5546,,130,0,0,0,0,CST,,,C,21,ATA,0,0,,,0,0,0,,0,,,130,26.12,-81.35,,,,,
8/3/1993,COLLIER CO.,70,80.5546,Naples,1455,0,0,0,0,EST,,,C,21,,0,0,,,0,0,0,,0,,,1455,,,,,Strong thunderstorms produced wind gusts to 81 mph.,,
1/3/1999,COLLIER CO.,70,80.5546,MARCO,129,0,0,10000,0,EST,,1500474,C,21,MFL,0,0,GENERAL PUBLIC,,,,,,,,MARCO,129,25.97,-81.73,25.97,-81.73,A severe thunderstorm wind gust blew down a two story screened pool enclosure.,,
6/26/2001,COLLIER CO.,70,80.5546,VANDERBILT BEACH,1420,0,0,50000,0,EST,E,1116394,C,21,MFL,0,0,EMERGENCY MANAGER,,,,,,,,VANDERBILT BEACH,1420,26.26667,-81.8167,26.26667,-81.8167,A severe thunderstorm moved from North Naples to Vanderbilt Beach blowing down several large trees. There was also damage to several vehicles and the window of a condominium was blown out.,,
8/9/2006,COLLIER CO.,70,80.5546,EAST NAPLES,1700,0,0,50000,0,EST,EG,1218294,C,21,MFL,0,0,NEWSPAPER,,,,,,,,EAST NAPLES,1700,26.11667,-81.7833,26.11667,-81.7833,"Four mobile homes suffered minor damage from strong downburst winds during a thunderstorm at Naples Mobile Home Estates in East Naples. Most of the damage was done to carports, windows and screens. 
 
 
 
 Damage survey done by Collier County Emergency Management Agency officials determined the source of the winds to be from a downburst and not tornado-related.",,
5/31/2002,GLADES CO.,70,80.5546,ORTONA,1745,0,0,50000,0,EST,E,1134857,C,43,MFL,0,0,EMERGENCY MANAGER,,,,,,,,ORTONA,1745,26.81667,-81.3167,26.81667,-81.3167,,"Several carports, awnings and screened porches were damaged 8 miles northeast of Ortona. Trees, signs and power lines were also blown down and one diameter hail was observed at several locations from 5 miles east southeast to 5 miles northeast of Ortona.",
4/28/1982,MIAMI-DADE CO.,70,80.5546,,1727,0,0,0,0,CST,,,C,86,T,0,0,,,0,0,0,,0,,,1727,25.5,-80.55,,,,,
1/22/1987,MIAMI-DADE CO.,70,80.5546,,930,0,0,0,0,CST,,,C,86,MIA,0,0,,,0,0,0,,0,,,930,25.47,-80.47,,,,,
6/27/1990,MIAMI-DADE CO.,70,80.5546,,1500,0,0,0,0,CST,,,C,86,MIA,0,0,,,0,0,0,,0,,,1500,25.92,-80.28,,,,,
5/15/2000,MIAMI-DADE CO.,70,80.5546,MIAMI,1640,0,0,0,0,EST,M,1093213,C,86,MFL,0,0,GOVT OFFICIAL,,,,,,,,MIAMI,1640,25.76667,-80.2,25.76667,-80.2,,A ship pilot at the Port of Miami reported 70 knot wind gusts and nickel-size hail.,
8/2/2002,MIAMI-DADE CO.,70,80.5546,HIALEAH,1500,0,0,5000,0,EST,E,1138902,C,86,MFL,0,0,LAW ENFORCEMENT,,,,,,,,HIALEAH,1500,25.85,-80.2667,25.85,-80.2667,A car was overturned at a dealership.,,
3/17/2003,MIAMI-DADE CO.,70,80.5546,MIAMI BEACH,2028,0,0,0,0,EST,EG,1147885,C,86,MFL,0,0,NWS EMPLOYEE(OFF DUTY),,,,,,,,MIAMI BEACH,2028,25.8,-80.1167,25.8,-80.1167,Thunderstorms produced wind gusts on south Miami Beach estimated at 80 mph.,,
4/29/2003,MIAMI-DADE CO.,70,80.5546,MIAMI,1545,0,0,25000,0,EST,EG,1148465,C,86,MFL,0,0,BROADCAST MEDIA,,,,,,,,MIAMI,1545,25.76667,-80.2,25.76667,-80.2,A severe thunderstorm wind gust damaged scaffolding on the top floor of a high rise condominium under construction near downtown Miami.,,
8/12/2004,MIAMI-DADE CO.,70,80.5546,CUTLER RIDGE,2325,0,0,5000,0,EST,EG,1175942,C,86,MFL,0,0,GENERAL PUBLIC,,,,,,,,CUTLER RIDGE,2325,26.83333,-81.0833,26.83333,-81.0833,,"The outermost rainband of Hurricane Charley swept from south to north across south Florida. Trees and power lines were blown down knocking out power to 35,000 customers. The wind damaged a carport and a steel gazebo was destroyed.",
9/9/1963,PALM BEACH CO.,70,80.5546,,1500,0,0,0,0,CST,,,C,99,,0,0,,,0,0,0,,0,,,1500,26.38,-80.28,,,,,
5/14/1969,PALM BEACH CO.,70,80.5546,,1605,0,0,0,0,CST,,,C,99,,0,0,,,0,0,0,,0,,,1605,26.7,-80.68,,,,,
4/26/2006,PALM BEACH CO.,70,80.5546,JUPITER,1654,0,0,0,0,EST,EG,1207353,C,99,MFL,0,0,BROADCAST MEDIA,,,,,,,,JUPITER,1654,26.93333,-80.1,26.93333,-80.1,Media reported downed telephone poles in Jupiter.,,
4/4/2013,PALM BEACH CO.,70,80.5546,OCEAN RIDGE,1625,0,0,0,0,EST-5,EG,73761,C,99,MFL,0,0,Trained Spotter,,,,1,SW,1,SW,OCEAN RIDGE,1625,26.5073,-80.0596,26.5073,-80.0596,Estimated wind gust of 60-70 mph was reported by a spotter near Federal Highway and SE 23rd Ave.,A surface low pressure area over the northeast Gulf of Mexico along with a strong upper level trough of low pressure across the Florida peninsula combined to develop severe thunderstorms over much of southeast Florida during the afternoon and early evening.,
8/24/1983,BROWARD CO.,69,79.40382,,1640,0,0,0,0,CST,,,C,11,MT,0,0,,,0,0,0,,0,,,1640,26.02,-80.15,,,,,
1/17/2016,COLLIER CO.,69,79.40382,IMMOKALEE,551,0,0,0,0,EST-5,MG,102136,C,21,MFL,0,0,Mesonet,,,,1,S,1,S,IMMOKALEE,551,26.41,-81.42,26.41,-81.42,Gust to 79 mph (69kts) was recorded at the Seminole Tribe Reservation in Immokalee.,"A line of severe storms developed over the eastern Gulf of Mexico during the early morning hours as an area of low pressure moved across the Florida peninsula. The line moved onshore the Collier county coast early in the morning, producing a large swath of wind damage. Numerous additional reports of wind gusts 45 to 55 mph and minor tree damage were recorded along the east coast metro as the line moved eastwards and into the Atlantic. A storm surge was also recorded as the line made landfall along the Collier county coast.",
4/24/1982,PALM BEACH CO.,69,79.40382,,930,0,0,0,0,CST,,,C,99,MT,0,0,,,0,0,0,,0,,,930,26.47,-80.07,,,,,
1/16/2022,MIAMI-DADE CO.,68,78.25304,BISCAYNE PARK,1314,0,0,0,0,EST-5,MG,164891,C,86,MFL,0,0,Mesonet,,,,3,SSW,3,SSW,BISCAYNE PARK,1314,25.7318,-80.1628,25.7318,-80.1628,"A thunderstorm wind gust of 78 mph was measured at the WeatherSTEM station at the University of Miami RSMAS campus in Virginia Key. The anemometer height is elevated on top of a building, therefore winds closer to the surface were likely lower.","An area of low pressure moving across the SE United States dragged its associated cold front across the FL peninsula, bringing severe thunderstorms to the region. A band of thunderstorms moved through the area, with strong winds aloft providing the necessary ingredients for a few waterspouts/tornadoes as well as strong and gusty straight line winds.",
4/6/2022,PALM BEACH CO.,68,78.25304,PALM BEACH GARDENS,1629,0,0,0,0,EST-5,MG,168648,C,99,MFL,0,0,Mesonet,,,,3,NW,3,NW,PALM BEACH GARDENS,1629,26.8248,-80.1013,26.8248,-80.1013,A wind gust of 78 mph was recorded by the Earth Networks site PLMGR at Palm Beach Gardens High School in association with the tornado which moved through the area.,A warm and moist SW wind flow across the South Florida led to the formation of thunderstorms across Palm Beach County during the afternoon hours of April 6th. One of these thunderstorms produced a tornado in Palm Beach Gardens. Lightning from these storms triggered a brush fire near PGA Boulevard and the Florida Turnpike.,
3/3/1978,MIAMI-DADE CO.,66,75.95148,,1510,0,0,0,0,CST,,,C,86,T,0,0,,,0,0,0,,0,,,1510,25.95,-80.15,,,,,
2/10/1983,MIAMI-DADE CO.,66,75.95148,,1617,0,0,0,0,CST,,,C,86,T,0,0,,,0,0,0,,0,,,1617,25.75,-80.25,,,,,
8/25/1966,BROWARD CO.,65,74.8007,,1600,0,0,0,0,CST,,,C,11,,0,0,,,0,0,0,,0,,,1600,26.1,-80.18,,,,,
1/13/1978,BROWARD CO.,65,74.8007,,1300,0,0,0,0,CST,,,C,11,ATA,0,0,,,0,0,0,,0,,,1300,26.13,-80.13,,,,,
1/13/1978,BROWARD CO.,65,74.8007,,1305,0,0,0,0,CST,,,C,11,S,0,0,,,0,0,0,,0,,,1305,26.07,-80.15,,,,,
7/16/1989,BROWARD CO.,65,74.8007,,1415,0,0,0,0,CST,,,C,11,MIA,0,0,,,0,0,0,,0,,,1415,26.13,-80.13,,,,,
5/28/1996,BROWARD CO.,65,74.8007,FT LAUDERDLE HLYWD A,1615,0,0,10000,0,EST,,2038598,C,11,MFL,0,0,,,,,8,S,8,S,FT LAUDERDLE HLYWD A,1615,25.95,-80.15,25.95,-80.15,,A thunderstorm downburst severely damaged a mobile home.,
4/29/1999,BROWARD CO.,65,74.8007,LAUDERHILL,2130,0,0,10000,0,EST,,1503472,C,11,MFL,0,0,NEWSPAPER,,,,,,,,LAUDERHILL,2130,26.1,-80.2,26.1,-80.2,,Thunderstorm wind gusts blew power lines down and blew a tree onto a house roof.,
5/15/1999,BROWARD CO.,65,74.8007,POMPANO BEACH,1152,0,0,0,0,EST,,1501796,C,11,MFL,0,0,GENERAL PUBLIC,,,,,,,,POMPANO BEACH,1152,26.23,-80.12,26.23,-80.12,,Public reported several trees blown down.,
6/30/2000,BROWARD CO.,65,74.8007,FT LAUDERDALE,1720,0,0,2000,0,EST,E,1096962,C,11,MFL,0,0,LAW ENFORCEMENT,,,,,,,,FT LAUDERDALE,1720,26.13333,-80.1333,26.13333,-80.1333,,One-inch hail fell near I-595 and I-95 . The carport of a mobile home was blown down.,
7/23/2001,BROWARD CO.,65,74.8007,PLANTATION,1410,0,0,10000,0,EST,E,1118599,C,11,MFL,0,0,LAW ENFORCEMENT,,,,7,W,7,W,PLANTATION,1410,26.08333,-80.3167,26.08333,-80.3167,"A severe thunderstorm wind blew a power line onto I-75, trapping several people in their vehicles and shutting down the highway for several hours.",,
3/13/2003,BROWARD CO.,65,74.8007,CORAL SPGS,2340,0,0,0,0,EST,EG,1147863,C,11,MFL,0,0,LAW ENFORCEMENT,,,,,,,,CORAL SPGS,2340,26.26667,-80.2167,26.26667,-80.2167,A severe thunderstorm with wind gusts estimated at 65 mph blew down a 20-foot tall tree at 4643 University Drive.,,
4/4/2013,BROWARD CO.,65,74.8007,LIGHTHOUSE PT,1631,0,0,0,0,EST-5,EG,73761,C,11,MFL,0,0,Mesonet,,,,1,N,1,N,LIGHTHOUSE PT,1631,26.2783,-80.1204,26.2783,-80.1204,Mesonet reported 58 mph sustained wind with a 75 mph gust at North Broward Medical Center via WeatherBug. The instrument is located on top of a four-story building.,A surface low pressure area over the northeast Gulf of Mexico along with a strong upper level trough of low pressure across the Florida peninsula combined to develop severe thunderstorms over much of southeast Florida during the afternoon and early evening.,
7/2/2020,BROWARD CO.,65,74.8007,DAVIE,1700,0,0,50000,0,EST-5,EG,149194,C,11,MFL,0,0,Broadcast Media,,,,2,NW,2,NW,DAVIE,1700,26.0906,-80.2601,26.0906,-80.2601,"Multiple broadcast media outlets and law enforcement reports damage to two homes on 83rd Terrace near Nova Drive. One of these homes suffered severe roof damage, with part of the roof detached and blown off. Estimated winds based on the damage observed as well as data from TFLL radar is around 75 mph. This damage is a result of downburst winds and not tornadic. Damage amount is also estimated.","South-southwesterly flow allowed for deep tropical moisture to stay in place across South Florida. This prevailing flow also allowed the Gulf sea breeze to progress further inland, pinning the Atlantic sea breeze to the coast, becoming the focus for afternoon showers and thunderstorms. With the presence of a mid-level trough across the NE CONUS, its southern edges influenced South Florida, which allowed for an increase in thunderstorms along the east coast that brought gusty winds and hail to portions of Broward County.",
7/2/2020,BROWARD CO.,65,74.8007,DAVIE,1700,0,0,0,0,EST-5,EG,149194,C,11,MFL,0,0,Broadcast Media,,,,2,NW,2,NW,DAVIE,1700,26.0956,-80.255,26.0956,-80.255,Broadcast media relayed large tree damage in the area of 81st Avenue and 20th Court. Estimated downburst winds of 75 mph based mainly on radar data from TFLL and nearby damage.,"South-southwesterly flow allowed for deep tropical moisture to stay in place across South Florida. This prevailing flow also allowed the Gulf sea breeze to progress further inland, pinning the Atlantic sea breeze to the coast, becoming the focus for afternoon showers and thunderstorms. With the presence of a mid-level trough across the NE CONUS, its southern edges influenced South Florida, which allowed for an increase in thunderstorms along the east coast that brought gusty winds and hail to portions of Broward County.",
6/3/2023,BROWARD CO.,65,74.8007,PEMBROKE,1200,0,0,50000,0,EST-5,EG,182840,C,11,MFL,0,0,Law Enforcement,,,,1,WNW,1,WNW,PEMBROKE,1200,25.9833,-80.1812,25.9833,-80.1812,A partial roof collapse of a duplex apartment building was reported shortly after a thunderstorm moved through the region producing wind gusts in excess of 70 mph. Both families in the complex were forced to evacuate.,A deep flow of tropical moisture continued over South Florida associated with Tropical Storm Arlene over the NE Gulf of Mexico. This along with instability aided by a jet stream aloft led to the formation of strong and severe thunderstorms across SE Florida.,
3/9/1998,COLLIER CO.,65,74.8007,IMMOKALEE,350,0,0,100000,0,EST,,2075035,C,21,MFL,0,0,,,,,,,,,IMMOKALEE,405,26.42,-81.42,26.42,-81.42,At Immokalee Regional Airport one aircraft destroyed and 3 aircraft damaged. A metal building was also damaged. One quarter mile away a feed and supply store reported roof damage.,,
7/22/1999,COLLIER CO.,65,74.8007,GOLDEN GATE,1450,0,0,10000,0,EST,,1082056,C,21,MFL,0,0,EMERGENCY MANAGER,,,,,,,,GOLDEN GATE,1450,26.17,-81.67,26.17,-81.67,,"Severe thunderstorm wind gusts damaged a house roof, uprooted an 18-inch diameter tree and blew down a utility pole.",
